,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
75,prerank,STK33_NOMO_UP,0.24838395177266123,1.3063578550378792,0.0,0.12975876366377687,0.93,91/272,26.13%,NEAT1;CXCL1;MMP10;NAMPT;WNT5A;AQP9;IL1B;USP53;IL1A;KBTBD8;PSD3;CXCL3;CXCL2;NPEPPS;GPRIN3;MMP1;IL7R;TPSAB1;GBP3;MGAT4B;ARL5B;CRK;TFEC;SAR1B;GFPT1;CCL4;FNDC3A;KCNJ2;SIPA1L2;PINLYP;LCOR;CLEC7A;VWA5A;ADAMDEC1;MTMR9;ADGRE2;ZEB2;STK17B;REC114;CD80;RAB8B;KCNJ15;TLR1;CXCL6;P2RY14;TREM1;HBP1;ASPH;DOCK4;BTBD7;SQSTM1;DENND1B;KDELR3;SOS1;STAM2;HINT3;HCAR3;IL10;LACC1;KLF6;FCHO2;ARRDC3;BBS12;PTX3;CTTNBP2NL;SGPL1;ZBTB18;PTPN3;CACUL1;NRAS;ABCA1;PGBD5;STX12;CPEB4;THAP1;WDR19;SYNJ1;APPL2;TM6SF1;DCSTAMP;KLHL28;EPAS1;IL1R2;YES1;MAP4K3;BCL3;CCDC71L;TRIP11;NKIRAS1;KIAA0232;IL6ST
76,prerank,KRAS.AMP.LUNG_UP.V1_UP,-0.30714929990651507,-1.3058806295782974,0.017241379310344827,0.11915655150949268,0.99,27/119,11.90%,SEMA3E;NGF;NOVA1;DYNC1I1;DOCK3;FCRL2;PAGE4;NELL2;DUSP9;ST8SIA2;GABRR1;CSN2;DLX5;GRP;RCAN2;SOX12;MAN1C1;VENTX;HSPA1L;CLSTN3;GCKR;MYOZ1;HPR;F13A1;EFNA3;NPHS1;NDOR1
77,prerank,RELA_DN.V1_UP,-0.2884337083471995,-1.3033130018333947,0.06153846153846154,0.12028186274509804,1.0,35/139,19.08%,ATP2A1;NOVA1;ADAMTS13;SLC27A6;FOSL1;PPP1R15A;TLX1;XCL1;KCNQ4;PODXL2;GADD45B;CDK5R2;CLK1;ATP8A2;GHRH;ESM1;RNF25;CTF1;SNAI1;SNAPC1;P2RY11;CHST1;FOSB;CELP;VEGFA;FGF2;PIP;SIRT4;ZFP37;BIN1;RNF39;GRAP;ZFP36;WRNIP1;JUN
78,prerank,BCAT_GDS748_DN,-0.34128582143004027,-1.2794060974544132,0.08163265306122448,0.1480392156862745,1.0,8/41,12.17%,TTR;SLC27A6;GAS1;PMFBP1;CNPY3;ISYNA1;ZBED5;MYBL1
79,prerank,CRX_DN.V1_DN,-0.2813975428602698,-1.27696842601382,0.09523809523809523,0.1484997029114676,1.0,42/124,23.14%,CAMK2B;GFAP;CCKBR;FABP7;CHRNB4;NAB2;BACH2;LDB1;GHRH;RGL3;SERPING1;SEMA5B;FRMD6;CHRNA3;APOBEC2;TMOD1;SH3BP4;PLEC;MYOZ1;PHOX2B;JAM3;TIMP1;C1QTNF6;SPSB2;CALCA;FOXD1;INHBB;CAPN12;SMOC2;PPP1R14A;COL16A1;S100A16;ACBD6;COL4A2;GDAP1L1;MYOCD;TGM2;ATP8B2;TMEM176A;PCOLCE;LAD1;SOCS3
80,prerank,E2F1_UP.V1_UP,0.25435074602159147,1.273829812116928,0.0425531914893617,0.1654353562005277,0.95,50/176,20.11%,KIF2A;CNOT7;SSX2IP;STIL;BRCA2;DMBT1;MPG;GRSF1;DDX46;MAPK14;ARHGAP8;BUB1;KPNA3;PSME3;PRC1;DCTPP1;PIGA;SLC35E1;RB1;EIF6;PLK4;WRN;TAF9;GPN2;THOP1;RBM22;HSPB2;NOCT;BOLA3;DLGAP5;TRNT1;CASP7;TPD52;NUP43;DNA2;RBM15;TYMS;CHEK1;DBF4;UBN1;MCM4;ELANE;UQCC1;PITPNM1;SLBP;SMC2;RDH13;TFAM;MRPL46;CHAF1B
81,prerank,IL2_UP.V1_DN,-0.2678670304335712,-1.2737696710298854,0.05357142857142857,0.14970734562481708,1.0,42/166,18.46%,RPL3L;TNNT3;CUX2;TAGLN3;PCSK5;TCEAL4;ERC2;WSCD2;ZNF362;ASPHD1;CHRNB4;NACAD;KLHDC8A;ARL4C;AGBL2;PBXIP1;GDF5;COLQ;ZNF408;CD72;NAP1L2;CCDC81;NDOR1;HSF2BP;CDKN1C;MYCT1;RABEP2;RASGRP3;SYT1;NKX3-2;MYLK;NUAK1;CYP46A1;PAK3;DEPTOR;KCNS1;PBX1;SLC24A1;ISL1;CD34;INHA;SDCCAG8
82,prerank,CYCLIN_D1_KE_.V1_UP,-0.2767900476284126,-1.2707719897609595,0.03389830508474576,0.15050461361014994,1.0,61/182,26.37%,HSF4;NTN3;TPTEP1;ZIC1;PRPH;MAT1A;NFE2;CHRNB4;COX17;DTNA;FAM3C;TRAF1;PCGF2;ADRA2B;CDKN2A;RGS3;PHKG2;LTBR;PKN1;DUSP5;HSPA1B;CYP2E1;GGT5;BATF;SMTN;NPR2;PDE4C;PIGC;PLCB2;SLC6A3;REN;HOXC5;TROAP;SUPT5H;TGFBR2;BRF1;RASSF7;EPHA2;EVX1;PLK3;CHKA;COL5A2;COL18A1;KCNAB2;AGXT;MASP1;KDM5C;DGKD;THOC1;SLC38A3;CCL23;GNAI2;PRRC2A;KCTD2;BCL9;SLN;CDR2L;DAP;ADRA2A;PLOD1;THY1
83,prerank,DCA_UP.V1_DN,-0.273247966312977,-1.2518447044146284,0.03333333333333333,0.17603012219380504,1.0,47/165,23.55%,ENO3;SNCB;CX3CL1;SHOX2;TAF1C;FGF9;WDR91;CDH16;CDK5R2;CDK10;C2CD2L;CDON;NR4A1;TSC22D3;PHKG2;PRRX2;NUDT11;ZNF84;ACIN1;NPIPA1;RALGDS;CST7;ZNF248;TBX6;SETD4;TNRC18;S100A14;MNAT1;AGAP2;ETNPPL;MSANTD2;VPS52;GRID2;PPP1R12B;PLK3;SLC22A17;PPP1R13B;NOL8;COL21A1;ZNF821;LAMA3;SLC16A10;GMPR;ASIC4;ANKRD46;SLC38A3;MATN4
84,prerank,BCAT_BILD_ET_AL_UP,-0.34475123438214755,-1.2480477243514547,0.16071428571428573,0.17733893557422967,1.0,17/44,26.14%,PALMD;MYL9;TAGLN;NDRG4;CTSD;MYADM;CAPS;CNOT3;SLC35C2;STXBP2;FOXQ1;IGSF8;CD2BP2;CYP24A1;RPL37A;ICAM5;HMGB1
85,prerank,GCNP_SHH_UP_EARLY.V1_DN,-0.26051390331303204,-1.247712070031686,0.07142857142857142,0.17502071251035625,1.0,46/154,23.70%,JPH3;SIX4;TERF2IP;PCP2;EEPD1;CNN1;GABRD;MGP;GNA14;CRABP2;GLB1L;AKR1C4;LAMB3;PLK2;PDE1B;SLC43A3;JAM3;CRYGS;PHLDB2;LTBP3;AMOTL2;DCAF8;HAS2;ELMOD3;MAP4K4;DBP;UBTF;MX2;PPFIBP2;RSPO2;NPPB;IRF3;FRMD5;HOXB3;LRRC23;RAMP1;PITX2;TM4SF1;HES1;SMYD5;RRAGD;TMEM176A;HTRA3;MERTK;CBX1;NR6A1
86,prerank,SIRNA_EIF4GI_DN,0.280958554714088,1.245875551208305,0.09090909090909091,0.2025890501319261,1.0,33/87,26.61%,MAP3K19;SSR3;STAG1;SRPK1;PSME3;SLC31A1;MYD88;IMPA1;FAM111A;SNX10;FUT6;MAPKAPK5;CDC6;TRPC5;SHCBP1;RNF34;CFTR;DCTN6;ITGAE;SMURF2;EIF5A2;MYO19;ATP6V0E1;TXNDC9;FCHSD2;SUPT20H;PDCD10;MAP4K3;PAPSS2;RAB1A;MBD5;RIPK2;TANK
87,prerank,PRC2_EED_DN.V1_DN,-0.2610797672126849,-1.2364982315210042,0.09615384615384616,0.19135348583877992,1.0,58/183,28.07%,TMEM59L;DNAJB2;APLP1;ANKZF1;CSDC2;TUT1;TAF1C;PACSIN3;ITPKB;LMOD1;AFF3;SURF2;USP20;ARHGEF17;PCDHGA3;VAV2;PHKG2;TNK2;SYN1;FBXO17;NDRG4;PLXNB3;MICALL2;ODF2;PACS1;MIA;AP1G2;MRAS;SV2A;INHBB;PCDH12;KCNS1;MICAL1;SLC2A6;CXCL12;CDK18;SLC35C2;ENO2;SCD;STXBP2;LIPE;XRCC3;EXOSC2;GNAI2;DDX31;FBXL6;KCNA4;CHST3;VAC14;TRPM4;TKFC;MAP3K6;SIPA1;CEP131;LSS;TNFRSF10D;SLC12A4;GLI1
88,prerank,IL21_UP.V1_DN,-0.26291245793084955,-1.2333805071463522,0.10344827586206896,0.19362073596561913,1.0,34/160,16.23%,CUX2;DOC2A;SPTBN4;GUCA1B;ASPHD1;NACAD;LMOD1;TNNI3;MEOX2;AP3B2;KLHDC8A;NRXN1;DIRAS2;F11;MAB21L1;BCL2L10;CNTNAP3B;PHKG1;SLC17A1;EFNA5;GCNT4;CD72;POU1F1;CACNA2D3;USP27X;FES;MYLK;MIR600HG;CYP46A1;PCP4;PRKG2;OSGIN1;CNTN2;KCNS1
89,prerank,ESC_J1_UP_LATE.V1_DN,-0.26642934149714287,-1.2305308766813607,0.15873015873015872,0.19599894011658717,1.0,42/159,22.34%,NGFR;PCOLCE2;DOC2A;CRMP1;GAP43;PTCH2;RASGRP2;ANGPTL4;PTGIS;MMP11;SLC4A3;VEGFC;CIRBP;NEFH;TUBB2B;GBX2;VPS33B;DHODH;BHLHE40;NPHS1;AMH;EXOSC1;MRAS;TCF15;LCK;ERAS;MSANTD2;JAM2;ACACB;FGF18;DPYS;NXF1;SPRY4;RRP12;BMS1;PSMA8;GFPT2;CRCP;SMARCD3;MSRB2;NTN1;PCOLCE
90,prerank,KRAS.DF.V1_UP,0.24470068900535827,1.230231887459235,0.03225806451612903,0.21686326245537793,1.0,37/185,15.28%,CXCL8;CXCL1;NAT1;IL13RA2;RPS6KA5;SLC4A7;SEC24D;TMEM160;FAR2;ETNK1;PPM1D;S100P;TLR2;TFPI2;CXCL3;GLRX;PTPRG;MMP1;FKBP1B;PROCR;DSN1;PLIN3;ANKRD36B;IFITM1;FADS2;BORA;CHRNA5;IL1RL1;SRGN;TMEM158;GLMN;CBR4;DLGAP5;TIMP4;ZNF654;SCAND1;SERPINB1
91,prerank,EGFR_UP.V1_UP,0.2443085929300525,1.2270023620360024,0.06818181818181818,0.2100923482849604,1.0,78/184,30.22%,CCL22;MMP10;WNT5A;GK;SLC12A2;SLC4A7;SEL1L3;S100P;CCDC68;F2RL1;FGB;GLRX;S100A8;PSMB9;MMP1;ETHE1;CXADR;PTPRE;FNDC3B;NT5C2;PGM3;PSMB10;S100A9;PIGA;ITGA2;RPS6KA3;BACE2;PDE4B;IMPA1;TAP1;IRF1;WIPI1;LPIN1;SGMS1;SLC7A11;ARAP2;KLF4;SEC23A;CASP7;GABBR2;ETS2;ELL2;GCLM;ASPH;SGPP1;LPP;HOMER1;CBLB;CEACAM6;FGG;VAV3;RAB27A;LRP8;DRAM1;PCDH9;CMAHP;LHFPL2;RND1;MBNL2;EPAS1;SDCBP;BCL3;PAPSS2;MAP2K4;KCNS3;ATXN1;AGO2;TNFAIP8;SLCO2A1;MALL;CTNNAL1;EGLN3;DBNDD2;GBP1;HSPA2;MGAT4A;MAP3K5;CYP27B1
92,prerank,KRAS.DF.V1_DN,-0.26624626731607887,-1.2251280340380657,0.17543859649122806,0.1995032679738562,1.0,44/172,17.87%,CAMKV;RPRM;SLC30A3;NGF;IGFBP3;PXDC1;TGFB3;SYP;GAP43;BCAM;UCHL1;C6orf15;RAB6B;ZNF512B;PTPN14;PCBP3;PAX5;LANCL2;KLF15;RAB3IL1;TAGLN;HOMER2;SLC17A1;CDK20;SSTR3;ROBO3;HOXC8;RNF122;DVL3;TMEM45A;TRA2A;NRP2;WASF1;COPZ2;MXRA8;COL4A5;PAK3;MPP3;GJB4;HMGN3;TUFT1;RNF39;CDK18;SF3A2
93,prerank,ERBB2_UP.V1_UP,-0.26168663538255893,-1.2162685115869578,0.11864406779661017,0.21280959752321982,1.0,37/179,15.65%,ATP6V0A4;KRT81;RPRM;VTCN1;APLP1;KRT7;TNNT1;BCAM;PACSIN3;GAMT;CRLF1;EPHX1;UPK2;ANGPTL4;HEY1;SPAG4;ZNF365;BMPR1B;BCL6;PTMS;TTC9;SERHL;CYP1B1;ZNF467;SPTBN2;PACS1;ETV5;PTPRU;KCNMA1;TBC1D8;P4HA2;GDPD3;TCEA2;TNFRSF21;DUSP6;AKR1C2;NOTCH3
94,prerank,JNK_DN.V1_UP,-0.25912412871055857,-1.2068851621387393,0.1346153846153846,0.22461166284695697,1.0,51/170,24.12%,DRD1;RRAD;IGFBP3;MYOM1;CRMP1;PRR3;C8G;MMP17;PPFIA4;DDIT3;EYA2;HOXC4;EFHD1;F11;RUNX3;GHRH;KRT34;SHC3;ACADL;PHKG1;OR2B6;SCN2B;LINC00667;ABCD1;MS4A1;CLIP3;TNNC1;TDO2;MRAS;SLC6A1;KLK7;KCNS1;S1PR1;KRT9;HOXA2;ARL4A;ADAM12;EPHA3;ALOX12B;GABRP;AGXT;PECAM1;KDM5C;HSD3B1;BMP7;KCNJ5;STC2;FAM161A;ECM2;ELN;CLCN4
95,prerank,RPS14_DN.V1_UP,0.24120115502309813,1.2037858724735033,0.14634146341463414,0.2496528259963894,1.0,57/182,23.61%,CXCL8;IL1B;CACNB4;RBM47;IGSF6;KBTBD11;BCL2A1;PTPRG;CASP1;FBN2;TNFRSF9;TRIM36;CD69;PTPRE;TNFRSF10C;ACKR4;BIRC3;CCL1;DMXL2;ATP8B4;EVI2A;CLEC5A;TFEC;CLEC7A;GFI1;ADAMDEC1;SLC31A2;LST1;SESN1;PDE4D;ANXA3;HCK;EVI2B;P2RY14;ATP8B1;TGFBI;SCN3A;CDCP1;ICAM3;CRTAM;CTSS;RCBTB2;ELANE;MNDA;CYSLTR1;ZMAT3;PTPN22;CPM;CEACAM6;IL1RAP;CTSG;NKG7;ITGAX;PLA2G7;MS4A6A;HLA-DMB;TM6SF1
96,prerank,TGFB_UP.V1_UP,-0.2468658913159455,-1.1938497892579338,0.11666666666666667,0.24215686274509804,1.0,57/178,25.92%,NGF;RRAD;RGCC;NFATC4;CRYAB;PXDC1;WNT7A;BHMT;GADD45B;WNT16;CLCF1;LMCD1;TAGLN;CSNK1E;MATN1;AKAP12;RUSC2;SNAI1;ABTB2;SMTN;LARP6;SPHK1;CAPRIN2;BHLHE40;ITGA5;PPP1R13L;RGS11;KHDC1;FOXD1;TUBB4A;JAM2;PDGFB;FERMT2;LTBP2;PMEPA1;COL16A1;MYBPC2;SMOX;PPP2R2B;STC1;JUN;SMURF1;ELK3;FLT4;JMJD6;MAFB;ZFP36L1;CYP24A1;CDKN2B;DACT1;HS3ST2;FGF1;CHST3;LIF;ATF3;WNT3;SPSB1
97,prerank,IL15_UP.V1_UP,-0.25245667299638924,-1.188072944282919,0.12307692307692308,0.24990071978158354,1.0,42/171,19.58%,PNMT;CALML5;PTH1R;RGCC;APLP1;FOSL1;DLX2;CPA4;REEP2;RGS16;GADD45B;FAM3C;EGR2;CENPT;CYP7A1;RGS3;HSD17B14;CLSTN3;NOX4;PLEC;ZNF276;HOXC8;MAFK;ZBTB48;PLXNA3;MAFF;AIM2;SPOCK1;TNFRSF21;AP3M2;LGALSL;DUSP6;INHBB;LIME1;SPP1;HS3ST1;PIM1;CXCL12;CAPN10;PAK6;HABP2;SNHG17
98,prerank,PTEN_DN.V1_DN,-0.25541890912615667,-1.1872996229283914,0.140625,0.24773284313725485,1.0,45/159,21.64%,KRT81;MATN3;FOSL1;ANKRD34C;HEYL;KCNMB3;CDO1;HPCAL4;GPM6A;WNT16;ZNF556;KCNJ10;TWIST1;FST;DGKB;FOLR3;FBXO17;ANKRD53;TLE6;CAND2;SUGCT;TGFA;SEMA4D;DNASE1L2;SERPINA10;ETV5;CHST10;BTBD18;PRTN3;VIM;CDH10;SV2B;ADCYAP1R1;FJX1;HS3ST1;NPPB;OLFM1;CA6;SGCE;B4GALNT1;C1QTNF1;HMGN5;PON3;AGXT;ZNF667
99,prerank,ESC_J1_UP_EARLY.V1_UP,-0.25165033215137167,-1.1798760666118515,0.17857142857142858,0.2604091019123699,1.0,46/150,25.21%,BTN1A1;COL26A1;TTR;MPP2;FOSL1;C14orf132;GADD45B;PHF21A;HEY1;A4GALT;RAB3IL1;TLE6;EDARADD;COLQ;CACNB3;PHOX2B;DHRS7;CHRNB1;PIGC;DPP7;NR1D1;ZFPM2;P4HA2;PCSK4;PDGFRB;ADCYAP1R1;BNIPL;AUP1;CXCL12;NECAB3;STC1;GPRIN1;TSHZ1;EVPL;TRIB2;CPT1B;TYMP;NANOS1;BMP7;BCL2L2;ENPP5;CD82;P4HA1;RPL22;PDK4;FGF14
100,prerank,GCNP_SHH_UP_LATE.V1_UP,0.2381203600351265,1.1743327814395264,0.06451612903225806,0.3033641160949868,1.0,69/170,28.93%,MATR3;SSX2IP;HIGD1A;IGF2;CDC25C;SRSF1;GALNT3;PRC1;ZFX;CCR2;SACM1L;RRM2;SMC4;ARL5A;NAA15;THOP1;HSPB2;SLC12A1;MYB;TM9SF3;SLC7A6;FBXO11;CD80;GART;DLGAP5;MCM5;MOB1A;LBR;MBD2;MIS18BP1;ABCE1;CHEK1;VPS4B;COX7B;MCM4;ATAD2B;SMC2;RYK;GFM2;TNFSF11;CCND2;RLIM;ELOVL2;MCM6;SRSF10;YTHDF3;XPO1;PTPRC;PSME4;FMR1NB;SLC29A1;RRM1;CDCA7;TNFSF10;METAP1;KIF2C;COIL;AURKA;DDX3X;MIOS;ARIH1;DIDO1;PTCD3;CDK1;LLGL2;LIG1;SERPINB9;AARD;TOP2A
101,prerank,MTOR_UP.N4.V1_UP,0.23658857050108992,1.1738562903394445,0.10416666666666667,0.29089709762532984,1.0,53/181,23.61%,SLC39A14;GK;SLC25A32;APOL6;COQ2;SEC24D;LARS2;ETNK1;PANK3;MIPEP;GPR65;ABHD6;ELOVL6;ARL3;IL7R;DLEU1;MRPL22;RIMS3;MCPH1;PLS1;PHACTR2;SDF2L1;CHUK;COX10;SLC31A1;FAS;SAR1B;GFPT1;FKBP11;PCCA;SLC7A11;BSPRY;HERPUD1;CASR;NUP155;ANXA3;PTPRK;ITPR1;GTF2E2;IDH3A;BCAT1;SLC6A9;CEBPG;CNIH4;CTSG;MSMO1;EIF2B3;GCH1;TMEM135;NANS;PYCR1;LIMA1;TM6SF1
102,prerank,KRAS.BREAST_UP.V1_UP,-0.26786372427434124,-1.1694576362230493,0.11538461538461539,0.2797704447632712,1.0,21/119,9.89%,PSCA;SNAP25;ALPP;IGFBP3;TAGLN3;SYP;KCNJ14;TERT;PPP1R15A;FCRL2;NFE2;WNT16;TRAF1;KCNK3;KRT34;FMO2;ESM1;AKAP12;S100A5;NPAS1;EFNA5
103,prerank,ESC_V6.5_UP_LATE.V1_UP,-0.24691214572332496,-1.1561933747075437,0.16393442622950818,0.3058823529411765,1.0,37/170,20.19%,CYP26A1;PTH1R;GPX3;TTR;GRIK5;MYL3;PODXL;GAS1;H19;HEY1;PRICKLE1;RGL3;POSTN;LHX1;GSC;SLIT3;NRK;NUDT11;FGF5;RHOU;IGF2BP2;BVES;TNNC1;P4HA2;RIPK4;CHST15;PDZRN3;PDLIM3;DPP4;SPOCK2;EVX1;COL4A2;SGCE;DKK1;FOXQ1;OTX2;PITX2
