Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PGF_UP.V1_DN,-0.3405749295531889,-1.3141794620239333,0.020618556701030927,0.34289517470881864,1.0,66/177,28.14%,ZFR2;SLC6A15;VGF;ATP2B2;PPFIA4;TPTEP1;SSTR2;KCNC3;IGFBP6;PAX2;CAMK2B;HOMER2;MEF2B;AURKC;FZD7;CACNA1C;TTLL3;CLDN9;BCAM;PDE1B;TAS2R14;AVPR1B;APOC1;TROAP;TAOK2;GNAL;GRIA1;MSI1;KHDRBS2;ENPP2;NFKB2;CLASRP;UBE2H;PKLR;SMARCD1;CTF1;LY6E;KCNQ3;PKP3;LRRC23;EFNA5;IGFBP2;C9;SPRY1;MCF2L;CCDC9;MAST1;KRT9;POU2F3;NOS1AP;LTK;GRM2;SH3BP1;EVPL;DPF1;DOLPP1;UTF1;PIP5K1A;FOXG1;NPR2;NUCB1;ANGEL1;NELL2;ZNF646;PXN;NR6A1
prerank,CRX_NRL_DN.V1_UP,-0.35162821721107246,-1.3140804683587244,0.07142857142857142,0.3219009983361065,1.0,55/129,34.50%,MC1R;REC8;DRD4;ANKRD33B;KCNJ14;HSPA1A;NR2E3;RNF207;WWTR1;GUCA1B;AQP1;TNNT1;RHPN1;KCNB1;SLC5A5;CRYBB1;ATP8A2;HSPA1B;SLC16A6;TCP11;NRL;PTPN18;UBXN11;TNS2;SLC24A1;CNGA1;SAMD11;SNTA1;COL19A1;NXNL2;MOGAT1;ABCG4;SNTG2;CROCC;PROSER2;CNGB1;PSD;MEST;ZC3H3;NRM;EPS8L1;RFX2;PRKAB1;RHO;KLHL36;TTC39C;RDH12;SLC25A25;GRTP1;MEF2C;KCNE2;GFAP;SYTL1;SLC29A2;GADD45A
prerank,BMI1_DN.V1_UP,0.2650720073401829,1.313717172038577,0.0,0.10568181818181818,0.18,46/142,21.68%,CXCL1;MMP3;LSAMP;PTHLH;HAPLN1;VANGL1;IL7R;ANXA3;CSF2;COL7A1;SLC2A1;CDCP1;TMEM62;PAPPA;ASPH;DKK1;ACKR3;TNFRSF9;EDN1;CTSS;BMP5;SLCO2A1;TAP1;FURIN;FOXP3;ITGA4;ADGRE5;PLAT;BDKRB2;SLC29A1;SLC1A4;PDCD1LG2;SRPX2;FAP;TRIO;LHFPL2;ATP13A2;CSF1;MICB;ATF6;TNFRSF8;PIEZO1;TEK;ADRB2;TNFAIP6;CSPG4
prerank,PTEN_DN.V1_UP,-0.342281483202451,-1.3134181521722201,0.050505050505050504,0.3066653616521484,1.0,54/161,28.14%,PTPRZ1;COL26A1;CYP26A1;TMEM151B;PCDHA5;TCF7L1;BDNF;MIA;HOXC8;KCNQ4;C5;SIT1;SLC6A1;BMPR1B;AQP1;LHX2;UCHL1;GABRA5;PCDHB12;PDZK1;MYBPC1;PAGE4;CAPN11;IRF9;KCNH7;AZU1;ATP6V1B1;MYO15A;SHC2;HTR2C;HOXB2;CCDC102B;TNNT3;EFNB3;GEMIN7;TUBB2B;MX2;CHRNB1;NGB;CLTCL1;GAL3ST1;OSGIN1;SORBS2;RBP3;GJC2;ZBTB10;HTN1;HTR1B;TGFBR3;PGR;GALR3;CPVL;ADRA2A;INHBB
prerank,KRAS.KIDNEY_UP.V1_DN,-0.3502927508251726,-1.307832385195018,0.04040404040404041,0.30709927897947864,1.0,50/118,32.50%,GRM4;KCNN1;IL23A;RYR2;HYAL4;CHRNG;IL1RL2;NGF;KCND1;PRSS21;BRDT;MX1;TMEM262;EGFL7;EFHD1;IFI30;KLHDC8A;SLC5A5;NPPB;PDCD1;DDX51;KCNF1;NR1I3;TACR2;HHIPL2;SEC31B;APBB3;SERHL2;TTLL2;MX2;ACTC1;GRM2;AGRP;CXCL10;IFI44L;NES;FOXA1;EPS8L3;CHRM2;LFNG;TREM2;ABCA3;HRG;ADAMTSL2;CARD9;HINFP;GPR35;NPC1L1;AADAC;CETP
prerank,SIRNA_EIF4GI_DN,0.291722181478811,1.3028768230573677,0.0,0.10420168067226891,0.19,31/88,20.43%,MYD88;SSR3;PSME3;FUT6;SLC31A1;DCTN6;SRPK1;TXNDC9;IMPA1;CCL2;MAP4K3;FCHSD2;CFTR;SMURF2;SHCBP1;STAG1;RAB1A;ATP6V0E1;MAP3K19;EIF5A2;CDC6;PDCD10;CDH11;PAPSS2;FAM111A;SNX10;CDR2;RIPK2;ATMIN;UAP1;HSD11B1
prerank,CYCLIN_D1_KE_.V1_DN,-0.34463975851605666,-1.2918080433208339,0.04081632653061224,0.34941763727121466,1.0,41/179,17.74%,CHRNB2;KIF1A;ACTN2;MC1R;PTH1R;DRD4;OXT;FCER2;CRMP1;PLCG2;ERBB2;ROS1;PBX2;MX1;PIP4K2B;MYH2;POU3F1;ATF7;NPAS1;MYL5;KCNJ8;NTF4;TFCP2;BNIP2;ALDH1A1;FLT1;POU2F2;GRIA1;RLBP1;ADARB1;ATP6V1B1;FES;PTCRA;TNNT3;UCP2;HPN;GALT;AKAP6;PIP4K2A;CAV1;TARBP2
prerank,KRAS.BREAST_UP.V1_UP,0.24657473705361388,1.290867020718899,0.2,0.11630591630591629,0.23,32/121,13.78%,MMP10;CCL22;KLK12;IL13RA2;CLSTN2;CASS4;CRCT1;IL1B;GLRX;KCNA2;CEACAM3;CMA1;SMPX;CXCL3;DEFB4A;CXCL2;TNFAIP3;ACKR4;CSF2;BIRC3;MAPK4;PRDM1;IL37;GFI1;USH2A;GPR37L1;DHRS9;IL17RB;ADAMDEC1;TLR8;IL1RAPL1;SCEL
prerank,DCA_UP.V1_DN,-0.33823488789294726,-1.2871986346927906,0.07142857142857142,0.34522462562396006,1.0,47/169,22.92%,ENO3;CDK5R2;CX3CL1;SHOX2;PHKG2;SNCB;ZNF248;ZNF84;FGF9;TAF1C;CDH16;RALGDS;CDK10;GRID2;MSANTD2;ASIC4;WDR91;PRRX2;ETNPPL;C2CD2L;NPIPA1;ACIN1;MSH5;SPRR1A;NR4A1;SETD4;VPS52;SLC16A10;TBX6;MNAT1;PPP1R13B;LAT;LIN7B;RASL10A;AGAP2;TRIM52;ARHGEF9;CNTLN;STEAP1B;MATN4;TNRC18;PPCDC;SIAH2;GPR19;LRP5L;ZNF821;LRRC37A2
prerank,RPS14_DN.V1_UP,0.2606954145098424,1.285836214396417,0.0,0.11018455228981544,0.23,55/185,17.94%,CXCL8;CTSG;CACNB4;IL1B;RBM47;FBN2;ELANE;SCN3A;PTPRE;PTPRG;TNFRSF10C;CD69;ANXA3;ACKR4;KBTBD11;CASP1;TGFBI;CDCP1;SESN1;GNAZ;TRIM36;DCN;BIRC3;CCL2;BCL2A1;CCL1;IGSF6;CEACAM6;TNFRSF9;RCBTB2;CYSLTR1;SORL1;P2RY14;GFI1;CTSS;LST1;EMP1;ICAM3;HCK;KCTD12;CRIM1;ADAMDEC1;MS4A6A;FUCA1;IL1RAP;CLEC7A;PROM1;CLEC5A;MNDA;ATP8B1;MAF;EVI2B;FRY;CRTAM;SPINK4
